The overrelaxation coefficient (omega) passed from command line is	 1.950
The border exchange factor passed from command line is	 1
Number of iterations:	 1	 Error:	 0.000000
Number of iterations:	 2	 Error:	 0.000000	 Elapsed Wtime:	       0.000573
Number of iterations:	 3	 Error:	 0.000000	 Elapsed Wtime:	       0.001152
Number of iterations:	 4	 Error:	 0.000000	 Elapsed Wtime:	       0.001736
Number of iterations:	 5	 Error:	 0.000000	 Elapsed Wtime:	       0.002312
Number of iterations:	 6	 Error:	 0.000000	 Elapsed Wtime:	       0.002882
Number of iterations:	 7	 Error:	 0.000000	 Elapsed Wtime:	       0.003512
Number of iterations:	 8	 Error:	 0.000000	 Elapsed Wtime:	       0.004083
Number of iterations:	 9	 Error:	 0.000000	 Elapsed Wtime:	       0.004690
Number of iterations:	 10	 Error:	 0.000000	 Elapsed Wtime:	       0.005270
Number of iterations:	 11	 Error:	 0.000001	 Elapsed Wtime:	       0.005859
Number of iterations:	 12	 Error:	 0.000117	 Elapsed Wtime:	       0.006446
Number of iterations:	 13	 Error:	 0.002740	 Elapsed Wtime:	       0.007016
Number of iterations:	 14	 Error:	 0.024168	 Elapsed Wtime:	       0.007604
Number of iterations:	 15	 Error:	 0.094696	 Elapsed Wtime:	       0.008178
Number of iterations:	 16	 Error:	 0.161062	 Elapsed Wtime:	       0.008572
Number of iterations:	 17	 Error:	 0.162304	 Elapsed Wtime:	       0.008873
Number of iterations:	 18	 Error:	 0.165452	 Elapsed Wtime:	       0.009179
Number of iterations:	 19	 Error:	 0.159842	 Elapsed Wtime:	       0.009510
Number of iterations:	 20	 Error:	 0.169033	 Elapsed Wtime:	       0.009807
Number of iterations:	 21	 Error:	 0.173481	 Elapsed Wtime:	       0.010103
Number of iterations:	 22	 Error:	 0.169038	 Elapsed Wtime:	       0.010436
Number of iterations:	 23	 Error:	 0.157040	 Elapsed Wtime:	       0.010734
Number of iterations:	 24	 Error:	 0.146041	 Elapsed Wtime:	       0.011031
Number of iterations:	 25	 Error:	 0.135937	 Elapsed Wtime:	       0.011362
Number of iterations:	 26	 Error:	 0.126641	 Elapsed Wtime:	       0.011660
Number of iterations:	 27	 Error:	 0.118073	 Elapsed Wtime:	       0.011957
Number of iterations:	 28	 Error:	 0.110165	 Elapsed Wtime:	       0.012258
Number of iterations:	 29	 Error:	 0.102855	 Elapsed Wtime:	       0.012587
Number of iterations:	 30	 Error:	 0.096091	 Elapsed Wtime:	       0.012928
Number of iterations:	 31	 Error:	 0.089824	 Elapsed Wtime:	       0.013236
Number of iterations:	 32	 Error:	 0.084012	 Elapsed Wtime:	       0.013560
Number of iterations:	 33	 Error:	 0.078616	 Elapsed Wtime:	       0.013858
Number of iterations:	 34	 Error:	 0.073602	 Elapsed Wtime:	       0.014160
Number of iterations:	 35	 Error:	 0.068939	 Elapsed Wtime:	       0.014474
Number of iterations:	 36	 Error:	 0.064599	 Elapsed Wtime:	       0.014774
Number of iterations:	 37	 Error:	 0.073813	 Elapsed Wtime:	       0.015075
Number of iterations:	 38	 Error:	 0.074308	 Elapsed Wtime:	       0.015406
Number of iterations:	 39	 Error:	 0.074712	 Elapsed Wtime:	       0.015705
Number of iterations:	 40	 Error:	 0.067840	 Elapsed Wtime:	       0.016003
Number of iterations:	 41	 Error:	 0.070012	 Elapsed Wtime:	       0.016335
Number of iterations:	 42	 Error:	 0.070172	 Elapsed Wtime:	       0.016633
Number of iterations:	 43	 Error:	 0.066642	 Elapsed Wtime:	       0.016940
Number of iterations:	 44	 Error:	 0.064402	 Elapsed Wtime:	       0.017241
Number of iterations:	 45	 Error:	 0.063568	 Elapsed Wtime:	       0.017571
Number of iterations:	 46	 Error:	 0.060555	 Elapsed Wtime:	       0.017868
Number of iterations:	 47	 Error:	 0.055763	 Elapsed Wtime:	       0.018168
Number of iterations:	 48	 Error:	 0.049707	 Elapsed Wtime:	       0.018496
Number of iterations:	 49	 Error:	 0.048151	 Elapsed Wtime:	       0.018794
Number of iterations:	 50	 Error:	 0.046158	 Elapsed Wtime:	       0.019091
Number of iterations:	 51	 Error:	 0.041996	 Elapsed Wtime:	       0.019424
Number of iterations:	 52	 Error:	 0.036447	 Elapsed Wtime:	       0.019721
Number of iterations:	 53	 Error:	 0.030922	 Elapsed Wtime:	       0.020018
Number of iterations:	 54	 Error:	 0.028874	 Elapsed Wtime:	       0.020349
Number of iterations:	 55	 Error:	 0.025948	 Elapsed Wtime:	       0.020647
Number of iterations:	 56	 Error:	 0.025856	 Elapsed Wtime:	       0.020944
Number of iterations:	 57	 Error:	 0.024932	 Elapsed Wtime:	       0.021244
Number of iterations:	 58	 Error:	 0.022575	 Elapsed Wtime:	       0.021575
Number of iterations:	 59	 Error:	 0.021118	 Elapsed Wtime:	       0.021872
Number of iterations:	 60	 Error:	 0.019755	 Elapsed Wtime:	       0.022171
Number of iterations:	 61	 Error:	 0.017946	 Elapsed Wtime:	       0.022497
Number of iterations:	 62	 Error:	 0.017360	 Elapsed Wtime:	       0.022794
Number of iterations:	 63	 Error:	 0.016479	 Elapsed Wtime:	       0.023091
Number of iterations:	 64	 Error:	 0.016139	 Elapsed Wtime:	       0.023420
Number of iterations:	 65	 Error:	 0.015305	 Elapsed Wtime:	       0.023717
Number of iterations:	 66	 Error:	 0.014957	 Elapsed Wtime:	       0.024014
Number of iterations:	 67	 Error:	 0.015428	 Elapsed Wtime:	       0.024342
Number of iterations:	 68	 Error:	 0.013985	 Elapsed Wtime:	       0.024639
Number of iterations:	 69	 Error:	 0.014104	 Elapsed Wtime:	       0.024937
Number of iterations:	 70	 Error:	 0.013325	 Elapsed Wtime:	       0.025239
Number of iterations:	 71	 Error:	 0.012535	 Elapsed Wtime:	       0.025572
Number of iterations:	 72	 Error:	 0.012239	 Elapsed Wtime:	       0.025869
Number of iterations:	 73	 Error:	 0.012763	 Elapsed Wtime:	       0.026175
Number of iterations:	 74	 Error:	 0.012177	 Elapsed Wtime:	       0.026518
Number of iterations:	 75	 Error:	 0.011782	 Elapsed Wtime:	       0.026817
Number of iterations:	 76	 Error:	 0.011803	 Elapsed Wtime:	       0.027114
Number of iterations:	 77	 Error:	 0.011466	 Elapsed Wtime:	       0.027447
Number of iterations:	 78	 Error:	 0.010937	 Elapsed Wtime:	       0.027744
Number of iterations:	 79	 Error:	 0.010555	 Elapsed Wtime:	       0.028042
Number of iterations:	 80	 Error:	 0.010210	 Elapsed Wtime:	       0.028374
Number of iterations:	 81	 Error:	 0.009814	 Elapsed Wtime:	       0.028672
Number of iterations:	 82	 Error:	 0.009410	 Elapsed Wtime:	       0.028969
Number of iterations:	 83	 Error:	 0.008973	 Elapsed Wtime:	       0.029313
Number of iterations:	 84	 Error:	 0.008287	 Elapsed Wtime:	       0.029611
Number of iterations:	 85	 Error:	 0.007547	 Elapsed Wtime:	       0.029909
Number of iterations:	 86	 Error:	 0.007633	 Elapsed Wtime:	       0.030209
Number of iterations:	 87	 Error:	 0.007143	 Elapsed Wtime:	       0.030540
Number of iterations:	 88	 Error:	 0.007132	 Elapsed Wtime:	       0.030837
Number of iterations:	 89	 Error:	 0.006959	 Elapsed Wtime:	       0.031137
Number of iterations:	 90	 Error:	 0.006645	 Elapsed Wtime:	       0.031469
Number of iterations:	 91	 Error:	 0.006413	 Elapsed Wtime:	       0.031767
Number of iterations:	 92	 Error:	 0.006257	 Elapsed Wtime:	       0.032065
Number of iterations:	 93	 Error:	 0.006266	 Elapsed Wtime:	       0.032395
Number of iterations:	 94	 Error:	 0.006085	 Elapsed Wtime:	       0.032693
Number of iterations:	 95	 Error:	 0.005861	 Elapsed Wtime:	       0.032991
Number of iterations:	 96	 Error:	 0.005689	 Elapsed Wtime:	       0.033322
Number of iterations:	 97	 Error:	 0.005689	 Elapsed Wtime:	       0.033621
Number of iterations:	 98	 Error:	 0.005597	 Elapsed Wtime:	       0.033920
Number of iterations:	 99	 Error:	 0.005483	 Elapsed Wtime:	       0.034225
Number of iterations:	 100	 Error:	 0.005405	 Elapsed Wtime:	       0.034542
Number of iterations:	 101	 Error:	 0.005318	 Elapsed Wtime:	       0.034843
Number of iterations:	 102	 Error:	 0.005259	 Elapsed Wtime:	       0.035147
Number of iterations:	 103	 Error:	 0.004990	 Elapsed Wtime:	       0.035461
Number of iterations:	 104	 Error:	 0.004867	 Elapsed Wtime:	       0.035759
Number of iterations:	 105	 Error:	 0.004853	 Elapsed Wtime:	       0.036058
Number of iterations:	 106	 Error:	 0.004591	 Elapsed Wtime:	       0.036372
Number of iterations:	 107	 Error:	 0.004557	 Elapsed Wtime:	       0.036680
Number of iterations:	 108	 Error:	 0.004512	 Elapsed Wtime:	       0.036983
Number of iterations:	 109	 Error:	 0.004330	 Elapsed Wtime:	       0.037300
Number of iterations:	 110	 Error:	 0.004307	 Elapsed Wtime:	       0.037599
Number of iterations:	 111	 Error:	 0.004267	 Elapsed Wtime:	       0.037898
Number of iterations:	 112	 Error:	 0.004176	 Elapsed Wtime:	       0.038199
Number of iterations:	 113	 Error:	 0.004055	 Elapsed Wtime:	       0.038516
Number of iterations:	 114	 Error:	 0.004015	 Elapsed Wtime:	       0.038815
