Number of iterations:	 1	 Error:	 0.000000	 Elapsed Wtime:	       0.000000
Number of iterations:	 2	 Error:	 0.000000	 Elapsed Wtime:	       0.004814
Number of iterations:	 3	 Error:	 0.000000	 Elapsed Wtime:	       0.009587
Number of iterations:	 4	 Error:	 0.000000	 Elapsed Wtime:	       0.014402
Number of iterations:	 5	 Error:	 0.000000	 Elapsed Wtime:	       0.019224
Number of iterations:	 6	 Error:	 0.000000	 Elapsed Wtime:	       0.024129
Number of iterations:	 7	 Error:	 0.000000	 Elapsed Wtime:	       0.029007
Number of iterations:	 8	 Error:	 0.000000	 Elapsed Wtime:	       0.033841
Number of iterations:	 9	 Error:	 0.000000	 Elapsed Wtime:	       0.038673
Number of iterations:	 10	 Error:	 0.000000	 Elapsed Wtime:	       0.043472
Number of iterations:	 11	 Error:	 0.000000	 Elapsed Wtime:	       0.048309
Number of iterations:	 12	 Error:	 0.000000	 Elapsed Wtime:	       0.053134
Number of iterations:	 13	 Error:	 0.000000	 Elapsed Wtime:	       0.057974
Number of iterations:	 14	 Error:	 0.000000	 Elapsed Wtime:	       0.062833
Number of iterations:	 15	 Error:	 0.000000	 Elapsed Wtime:	       0.067672
Number of iterations:	 16	 Error:	 0.000000	 Elapsed Wtime:	       0.072667
Number of iterations:	 17	 Error:	 0.000000	 Elapsed Wtime:	       0.077463
Number of iterations:	 18	 Error:	 0.000000	 Elapsed Wtime:	       0.082303
Number of iterations:	 19	 Error:	 0.000000	 Elapsed Wtime:	       0.087196
Number of iterations:	 20	 Error:	 0.000000	 Elapsed Wtime:	       0.091892
Number of iterations:	 21	 Error:	 0.000000	 Elapsed Wtime:	       0.096583
Number of iterations:	 22	 Error:	 0.000000	 Elapsed Wtime:	       0.101290
Number of iterations:	 23	 Error:	 0.000000	 Elapsed Wtime:	       0.105988
Number of iterations:	 24	 Error:	 0.000000	 Elapsed Wtime:	       0.110678
Number of iterations:	 25	 Error:	 0.000000	 Elapsed Wtime:	       0.115366
Number of iterations:	 26	 Error:	 0.000000	 Elapsed Wtime:	       0.120056
Number of iterations:	 27	 Error:	 0.000000	 Elapsed Wtime:	       0.124748
Number of iterations:	 28	 Error:	 0.000000	 Elapsed Wtime:	       0.129439
Number of iterations:	 29	 Error:	 0.000000	 Elapsed Wtime:	       0.134141
Number of iterations:	 30	 Error:	 0.000000	 Elapsed Wtime:	       0.138832
Number of iterations:	 31	 Error:	 0.000000	 Elapsed Wtime:	       0.143536
Number of iterations:	 32	 Error:	 0.000000	 Elapsed Wtime:	       0.148233
Number of iterations:	 33	 Error:	 0.000000	 Elapsed Wtime:	       0.152946
Number of iterations:	 34	 Error:	 0.000000	 Elapsed Wtime:	       0.157636
Number of iterations:	 35	 Error:	 0.000000	 Elapsed Wtime:	       0.162324
Number of iterations:	 36	 Error:	 0.000000	 Elapsed Wtime:	       0.167014
Number of iterations:	 37	 Error:	 0.000000	 Elapsed Wtime:	       0.171707
Number of iterations:	 38	 Error:	 0.000000	 Elapsed Wtime:	       0.176396
Number of iterations:	 39	 Error:	 0.000000	 Elapsed Wtime:	       0.181086
Number of iterations:	 40	 Error:	 0.000000	 Elapsed Wtime:	       0.185792
Number of iterations:	 41	 Error:	 0.000000	 Elapsed Wtime:	       0.190525
Number of iterations:	 42	 Error:	 0.000000	 Elapsed Wtime:	       0.195301
Number of iterations:	 43	 Error:	 0.000000	 Elapsed Wtime:	       0.200129
Number of iterations:	 44	 Error:	 0.000000	 Elapsed Wtime:	       0.204904
Number of iterations:	 45	 Error:	 0.000000	 Elapsed Wtime:	       0.209729
Number of iterations:	 46	 Error:	 0.000000	 Elapsed Wtime:	       0.214508
Number of iterations:	 47	 Error:	 0.000000	 Elapsed Wtime:	       0.219285
Number of iterations:	 48	 Error:	 0.000000	 Elapsed Wtime:	       0.224112
Number of iterations:	 49	 Error:	 0.000000	 Elapsed Wtime:	       0.228884
Number of iterations:	 50	 Error:	 0.000000	 Elapsed Wtime:	       0.233711
Number of iterations:	 51	 Error:	 0.000000	 Elapsed Wtime:	       0.238507
